UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 14:02 ?        00:00:04 /sbin/init splash
root           2       0  0 14:02 ?        00:00:00 [kthreadd]
root           3       2  0 14:02 ?        00:00:00 [rcu_gp]
root           4       2  0 14:02 ?        00:00:00 [rcu_par_gp]
root           6       2  0 14:02 ?        00:00:00 [kworker/0:0H-kblockd]
root           8       2  0 14:02 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 14:02 ?        00:00:00 [ksoftirqd/0]
root          10       2  0 14:02 ?        00:00:02 [rcu_sched]
root          11       2  0 14:02 ?        00:00:00 [migration/0]
root          12       2  0 14:02 ?        00:00:00 [idle_inject/0]
root          14       2  0 14:02 ?        00:00:00 [cpuhp/0]
root          15       2  0 14:02 ?        00:00:00 [cpuhp/1]
root          16       2  0 14:02 ?        00:00:00 [idle_inject/1]
root          17       2  0 14:02 ?        00:00:00 [migration/1]
root          18       2  0 14:02 ?        00:00:01 [ksoftirqd/1]
root          19       2  0 14:02 ?        00:00:02 [kworker/1:0-events]
root          20       2  0 14:02 ?        00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 14:02 ?        00:00:00 [cpuhp/2]
root          22       2  0 14:02 ?        00:00:00 [idle_inject/2]
root          23       2  0 14:02 ?        00:00:00 [migration/2]
root          24       2  0 14:02 ?        00:00:00 [ksoftirqd/2]
root          26       2  0 14:02 ?        00:00:00 [kworker/2:0H-kblockd]
root          27       2  0 14:02 ?        00:00:00 [cpuhp/3]
root          28       2  0 14:02 ?        00:00:00 [idle_inject/3]
root          29       2  0 14:02 ?        00:00:00 [migration/3]
root          30       2  0 14:02 ?        00:00:02 [ksoftirqd/3]
root          32       2  0 14:02 ?        00:00:00 [kworker/3:0H-kblockd]
root          33       2  0 14:02 ?        00:00:00 [cpuhp/4]
root          34       2  0 14:02 ?        00:00:00 [idle_inject/4]
root          35       2  0 14:02 ?        00:00:00 [migration/4]
root          36       2  0 14:02 ?        00:00:00 [ksoftirqd/4]
root          38       2  0 14:02 ?        00:00:00 [kworker/4:0H-kblockd]
root          39       2  0 14:02 ?        00:00:00 [kdevtmpfs]
root          40       2  0 14:02 ?        00:00:00 [netns]
root          41       2  0 14:02 ?        00:00:00 [rcu_tasks_kthre]
root          42       2  0 14:02 ?        00:00:00 [kauditd]
root          43       2  0 14:02 ?        00:00:00 [kworker/2:1-events]
root          44       2  0 14:02 ?        00:00:00 [kworker/3:1-events]
root          45       2  0 14:02 ?        00:00:00 [khungtaskd]
root          46       2  0 14:02 ?        00:00:00 [oom_reaper]
root          47       2  0 14:02 ?        00:00:00 [writeback]
root          48       2  0 14:02 ?        00:00:00 [kcompactd0]
root          49       2  0 14:02 ?        00:00:00 [ksmd]
root          50       2  0 14:02 ?        00:00:00 [khugepaged]
root          96       2  0 14:02 ?        00:00:00 [kintegrityd]
root          97       2  0 14:02 ?        00:00:00 [kblockd]
root          98       2  0 14:02 ?        00:00:00 [blkcg_punt_bio]
root          99       2  0 14:02 ?        00:00:00 [tpm_dev_wq]
root         100       2  0 14:02 ?        00:00:00 [ata_sff]
root         101       2  0 14:02 ?        00:00:00 [md]
root         102       2  0 14:02 ?        00:00:00 [edac-poller]
root         103       2  0 14:02 ?        00:00:00 [devfreq_wq]
root         104       2  0 14:02 ?        00:00:00 [kworker/4:1-cgroup_destroy]
root         105       2  0 14:02 ?        00:00:00 [watchdogd]
root         107       2  0 14:02 ?        00:00:00 [kworker/u10:1-events_unbound]
root         109       2  0 14:02 ?        00:00:00 [kswapd0]
root         110       2  0 14:02 ?        00:00:00 [ecryptfs-kthrea]
root         112       2  0 14:02 ?        00:00:00 [kthrotld]
root         113       2  0 14:02 ?        00:00:00 [acpi_thermal_pm]
root         114       2  0 14:02 ?        00:00:00 [scsi_eh_0]
root         115       2  0 14:02 ?        00:00:00 [scsi_tmf_0]
root         116       2  0 14:02 ?        00:00:00 [scsi_eh_1]
root         117       2  0 14:02 ?        00:00:00 [scsi_tmf_1]
root         118       2  0 14:02 ?        00:00:00 [kworker/u10:2-events_power_efficient]
root         119       2  0 14:02 ?        00:00:00 [vfio-irqfd-clea]
